service_id,date,exception_type
0201ML44831120303611,20140206,2
0201ML44831200321011,20140127,2
0201ML44831200321011,20140206,2
0201ML44831210325361,20140113,2
0201ML44831210325361,20140116,2
0201ML44831210325361,20140120,2
0201ML44831210325361,20140123,2
0201ML44831210325361,20140130,2
0201ML44831210325361,20140203,2
0201ML44831210325361,20140210,2
0201ML44831210325361,20140213,2
0201ML44831220329711,20140127,2
0201ML44831220329711,20140206,2
0201ML44831300347111,20140127,2
0201ML44831300347111,20140206,2
0201ML44831310351461,20140113,2
0201ML44831310351461,20140116,2
0201ML44831310351461,20140120,2
0201ML44831310351461,20140123,2
0201ML44831310351461,20140130,2
0201ML44831310351461,20140203,2
0201ML44831310351461,20140210,2
0201ML44831310351461,20140213,2
0201ML44831320355811,20140127,2
0201ML44831320355811,20140206,2
0201ML44831400373211,20140127,2
0201ML44831400373211,20140206,2
0201ML44831410377561,20140113,2
0201ML44831410377561,20140116,2
0201ML44831410377561,20140120,2
0201ML44831410377561,20140123,2
0201ML44831410377561,20140130,2
0201ML44831410377561,20140203,2
0201ML44831410377561,20140210,2
0201ML44831410377561,20140213,2
0201ML44831420381911,20140127,2
0201ML44831420381911,20140206,2
0201ML44831500399311,20140127,2
0201ML44831500399311,20140206,2
0201ML44831510403661,20140113,2
0201ML44831510403661,20140116,2
0201ML44831510403661,20140120,2
0201ML44831510403661,20140123,2
0201ML44831510403661,20140130,2
0201ML44831510403661,20140203,2
0201ML44831510403661,20140210,2
0201ML44831510403661,20140213,2
0201ML44831520408011,20140127,2
0201ML44831520408011,20140206,2
0201ML44831600426455,20140127,2
0201ML44831600426455,20140206,2
0201ML44831610429761,20140113,2
0201ML44831610429761,20140116,2
0201ML44831610429761,20140120,2
0201ML44831610429761,20140123,2
0201ML44831610429761,20140130,2
0201ML44831610429761,20140203,2
0201ML44831610429761,20140210,2
0201ML44831610429761,20140213,2
0201ML44831620435155,20140127,2
0201ML44831620435155,20140206,2
0201ML44831700452555,20140127,2
0201ML44831700452555,20140206,2
0201ML44831710455861,20140113,2
0201ML44831710455861,20140116,2
0201ML44831710455861,20140120,2
